participant,localiser_session,run,event_type,fix_dur,block_index,category,trial_in_block,image_path,is_target,img_dur,isi_dur
34,3,1,fixation,16.0,,,,,,,
34,3,1,trial,,1,table lamp,1,images/localiser_images/table lamp\table lamp_148.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,2,images/localiser_images/table lamp\table lamp_81.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,3,images/localiser_images/table lamp\table lamp_55.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,4,images/localiser_images/table lamp\table lamp_43.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,5,images/localiser_images/table lamp\table lamp_17.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,6,images/localiser_images/table lamp\table lamp_30.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,7,images/localiser_images/table lamp\table lamp_119.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,8,images/localiser_images/table lamp\table lamp_119.jpg,1,0.3,0.5
34,3,1,trial,,1,table lamp,9,images/localiser_images/table lamp\table lamp_50.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,10,images/localiser_images/table lamp\table lamp_105.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,11,images/localiser_images/table lamp\n03636248_17351.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,12,images/localiser_images/table lamp\n04380533_1849.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,13,images/localiser_images/table lamp\n03636248_1176.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,14,images/localiser_images/table lamp\n03636248_7377.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,15,images/localiser_images/table lamp\n03636248_12176.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,16,images/localiser_images/table lamp\n03636248_22700.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,17,images/localiser_images/table lamp\n03636248_7007.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,18,images/localiser_images/table lamp\table lamp_147.jpg,0,0.3,0.5
34,3,1,trial,,1,table lamp,19,images/localiser_images/table lamp\n03636248_1134.JPEG,0,0.3,0.5
34,3,1,trial,,1,table lamp,20,images/localiser_images/table lamp\table lamp_67.jpg,0,0.3,0.5
34,3,1,fixation,4.0,,,,,,,
34,3,1,trial,,2,teapot,1,images/localiser_images/teapot\teapot_73.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,2,images/localiser_images/teapot\teapot_03s.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,3,images/localiser_images/teapot\teapot_51.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,4,images/localiser_images/teapot\teapot_75.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,5,images/localiser_images/teapot\teapot_102.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,6,images/localiser_images/teapot\bing_theiere_0091.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,7,images/localiser_images/teapot\teapot_07s.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,8,images/localiser_images/teapot\teapot_43.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,9,images/localiser_images/teapot\teapot_08s.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,10,images/localiser_images/teapot\teapot_123.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,11,images/localiser_images/teapot\teapot_113.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,12,images/localiser_images/teapot\teapot_11s.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,13,images/localiser_images/teapot\teapot_69.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,14,images/localiser_images/teapot\teapot_103.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,15,images/localiser_images/teapot\teapot_126.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,16,images/localiser_images/teapot\teapot_145.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,17,images/localiser_images/teapot\teapot_56.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,18,images/localiser_images/teapot\n04398044_7593.JPEG,0,0.3,0.5
34,3,1,trial,,2,teapot,19,images/localiser_images/teapot\teapot_114.jpg,0,0.3,0.5
34,3,1,trial,,2,teapot,20,images/localiser_images/teapot\n04398044_3237.JPEG,0,0.3,0.5
34,3,1,fixation,4.0,,,,,,,
34,3,1,trial,,3,wallet,1,images/localiser_images/wallet\wallet_08s.jpg,0,0.3,0.5
34,3,1,trial,,3,wallet,2,images/localiser_images/wallet\wallet_30.jpg,0,0.3,0.5
34,3,1,trial,,3,wallet,3,images/localiser_images/wallet\n04548362_14236.JPEG,0,0.3,0.5
34,3,1,trial,,3,wallet,4,images/localiser_images/wallet\n04548362_20514.JPEG,0,0.3,0.5
34,3,1,trial,,3,wallet,5,images/localiser_images/wallet\n04548362_39166.JPEG,0,0.3,0.5
34,3,1,trial,,3,wallet,6,images/localiser_images/wallet\wallet_3.jpg,0,0.3,0.5
34,3,1,trial,,3,wallet,7,images/localiser_images/wallet\wallet_01b.jpg,0,0.3,0.5
34,3,1,trial,,3,wallet,8,images/localiser_images/wallet\n04548362_35664.JPEG,0,0.3,0.5
